0,  8484
608,   724
1292,  1396
1284,  1412
624,   716
1292,  1404
596,   736
612,   720
596,   752
1276,  1420
1268,  1420
596,   736
1280,  1424
608, 24028
608,   728
1300,  1412
596,   736
1288,  1424
592,   748
1284,  1420
596,   736
1284,  1428
612,   720
1280,  1424
592,   752
1280,  1420
600, 24052
588,   752
1268,  1420
604,   736
1300,  1412
588,   744
1296,  1412
592,   748
1276,  1428
588,   752
1260,  1440
580,   760
1280,  1420
584, 24048
612,   736
1260,  1440
580,   760
1268,  1436
580,   760
1256,  1440
596,   744
1276,  1424
596,   736
1292,  1404
596,   752
1264,  1432
576, 24056
572,   776
1256,  1448
580,   752
1276,  1424
592,   744
1284,  1420
616,   728
1268,  1424
588,   752
1256,  1448
568,   776
1240,  1464
580, 24040
576,   764
1260,  1440
616,   716
